CO2_concentration,Cap_eff(%),HE_left_min_apprch,FG_co2_cons(mol_ratio)_i,FG_temp(C)_i,LA_temp(C)_i,RA_to_Reg_temp_i,L/G (kg/kg)_i,Lean_loading(mol/mol)_i,HE_left_min_apprch_i,Abs_ht(m)_i,Cap_eff(%)_o,Rich_loading(mol/mol)_o,RA_temp_after_abs_o,SRD(MJ/kgco2)_o,SCD(MJ/kgco2)_o,Co2_purity(%mol)_o,SLAD(MJ/kgco2)_o
0.124,90.0,10.0,0.124,35.0,35.0,108.49999980359694,3.0262182145142384,0.2790976903840523,10.0,24.0,90.0,0.492221333669864,44.719996178850266,3.564719794003019,1.3421539027109426,0.9855800191565819,1.2725367662996137
0.124,90.0,11.0,0.124,35.0,35.0,108.49999980126896,2.9675888179403938,0.2762020328144793,11.0,24.0,90.0,0.49259417727801585,44.44720209448859,3.5864588544114286,1.3266541797711338,0.985600660904463,1.2948002223202584
0.124,90.0,12.0,0.124,35.0,35.0,108.49999995788396,2.913847041817431,0.27341457444491707,12.0,24.0,90.0,0.49291803602125517,44.194220207797606,3.607527490036985,1.3116169292608535,0.9856197126441406,1.317922431175574
0.124,90.0,13.0,0.124,35.0,35.0,108.49999972295515,2.8646984993150864,0.2707561608695014,13.0,24.0,90.0,0.4931976471888842,43.96084235690102,3.6279130211445256,1.297047740162744,0.9856372068799042,1.3417816869843056
0.124,90.0,14.0,0.124,35.0,35.0,108.4999999561184,2.8197364466745576,0.2682359213313948,14.0,24.0,90.0,0.4934385624406978,43.746091265371625,3.647609891472195,1.2829553277023817,0.9856532339509598,1.3661718459816816
0.124,90.0,15.0,0.124,35.0,35.0,108.49999995527648,2.7785244907163875,0.2658554119478146,15.0,24.0,90.0,0.4936462481417543,43.548656142643246,3.6666185663786295,1.2693503712253378,0.98566791110538,1.3908597223273242
0.124,91.0,5.0,0.124,35.0,35.0,108.49999968959145,3.2977176237068857,0.28506398524873694,5.0,24.0,91.0,0.48970855007832814,46.05670393845441,3.4694165063302713,1.4400357122676564,0.9855313441243172,1.1127181776863226
0.124,91.0,6.0,0.124,35.0,35.0,108.49999978777316,3.2357886119725503,0.28288376530585946,6.0,24.0,91.0,0.4901282230032958,45.805537622927964,3.492686226519913,1.422791403524081,0.9855506271836658,1.1436211889067445
0.124,91.0,7.0,0.124,35.0,35.0,108.49999978967699,3.1747032469165717,0.2805566502101367,7.0,24.0,91.0,0.4905422849745749,45.548110380109286,3.515607539753568,1.4057440759294346,0.9855699699331922,1.173047115994343
0.124,91.0,8.0,0.124,35.0,35.0,108.49999973380423,3.1154533459752694,0.2781341480175747,8.0,24.0,91.0,0.49093825642574,45.290710365999544,3.538123518360702,1.3889660298186302,0.9855890088036918,1.2015422298215959
0.124,91.0,9.0,0.124,35.0,35.0,108.49999995440747,3.058820099288275,0.2756674031282973,9.0,24.0,91.0,0.49130717321767753,45.038605270187524,3.5601809266224627,1.3725124604488266,0.9856074364653842,1.2295632798522413
0.124,91.0,10.0,0.124,35.0,35.0,108.49999995205722,3.0053093416384327,0.2732014454292684,10.0,24.0,91.0,0.49164391146275493,44.79566955216849,3.5817332517546263,1.3564246751304172,0.9856250286436017,1.2574231597213215
0.124,91.0,11.0,0.124,35.0,35.0,108.49999978021606,2.9551652099579044,0.27077219283459614,11.0,24.0,91.0,0.49194666146872423,44.56439685759636,3.602741879959092,1.34073487739359,0.9856416469658645,1.2852855340587466
0.124,91.0,12.0,0.124,35.0,35.0,108.49999995399023,2.908425989405977,0.2684059573425227,12.0,24.0,91.0,0.49221601466118015,44.346138959410204,3.623176258905511,1.325470111296154,0.985657226537842,1.3131903530570164
